"TimeSpan","BlueTeam.min","RedTeam.min","OppositeTeam.min","BlueTeam.median","RedTeam.median","OppositeTeam.median","BlueTeam.max","RedTeam.max","OppositeTeam.max"
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,6,NA,NA,6,NA,NA,6,NA,NA
8,3.5,25.3,154.4,6,25.3,169.35,6.5,25.3,184.2
9,5,32.6,146.2,5.1,32.6,164.5,9,32.6,183.1
10,5.8,34,141.4,7,34,158.4,12.2,34,176.7
11,5.9,5,139.3,12.9,17.2,164,21.2,33.4,183.8
12,8.2,5,137.8,14.1,15.2,158.6,24.2,30.3,179
13,8.6,5,136.4,12.65,15.65,153.05,24.2,29,170.3
14,6.7,5.1,134.1,14,21.05,151.3,25.9,39.2,176.9
15,5.6,6.4,136.3,12.2,19.4,144.4,20.6,37.2,167.9
16,5.7,8.5,132.2,8.8,18.6,139.35,16.3,33.7,159
17,5.6,6.7,125.6,7.65,22.9,135.2,11.8,32.5,156.2
18,3.6,4.7,116.7,6.55,25.05,131,10.9,31.4,153.4
19,3.5,7.4,115.9,6.1,25.2,128.5,10.3,30.8,150.6
20,2.8,13.2,111.5,7.4,23.75,128.25,10.3,35.4,147.8
21,2.8,13.2,107,5.65,19.6,127.3,10.2,33.6,145
22,3.5,8.6,102.6,5.75,22.85,128.3,10.8,37.1,142.2
23,4.2,8.6,98.4,12.7,27.05,128.3,25.3,40.7,160.9
24,5,7.1,93.7,15.9,31.5,128,24.2,44.3,155.3
25,4.9,14.5,87.6,15,30.1,127.6,21.6,47.8,149.6
26,4.4,16,81.6,14.4,32.15,127.2,19.9,53.1,144.1
27,3.9,15,75.6,13.6,34.35,126.6,20.9,61.1,138.5
28,3.2,14.2,69.6,14.25,35.9,125.4,21.9,65.1,135.9
29,2.6,13.3,63.8,15.65,34.55,124.3,23,69.3,136.4
30,1.8,12.4,58,17.55,33.25,121.9,24.2,73.8,136.9
31,1,9,52.3,19.8,33,117.3,25.4,78.4,137.4
32,1.8,8.5,50.4,21.7,34.55,117,26.7,74,137.7
33,1.5,7.1,49.5,26.55,32.9,113.9,28.1,68.7,138.2
34,5.4,5.9,49.3,24.7,33.35,111.5,30.7,65.6,138
35,6.9,4.8,48.5,24.05,32.9,109.7,34,60.1,137.4
36,8.2,3.5,45.6,27.35,33.6,105,37.3,56.9,136.8
37,9.9,2.5,43.2,31.85,33.5,106.4,40.7,57.4,136.2
38,11.4,5.1,41.2,31.25,33.05,103.8,44.1,58.7,135.7
